COD_CIR,Origen,Destino,Nom_orig,Nom_Des,Km,Res,Reac,tension,proy
LNX-113,SICN206,SICN210,Piura 500 kV,Nueva Pariñas 500 kV,105.21,0.021705,0.347115,500,0
LNX-112,SICN105,SICN206,La Niña 500 kV,Piura 500 kV,79.13,0.021,0.3289,500,0
LNX-044,SICN100,SICN105,Trujillo 500 kV,La Niña 500 kV,327,0.0239,0.3172,500,0
LNX-041,SICN-99,SICN100,Chimbote 500 kV,Trujillo 500 kV,146.66,0.021,0.312528,500,0
LNX-040,SICN-82,SICN-99,Carabayllo 500 kV,Chimbote 500 kV,384.66,0.021,0.31282,500,0
LNX-079,SICN201,SICN-82,Carapongo 500 kV,Carabayllo 500 kV,27.33,0.030626,0.320002,500,0
LNX-077,SICN-81,SICN201,Chilca 500 kV,Carapongo 500 kV,63.3,0.037835,0.342961,500,0
LNX-107,SICN202,SICN-82,Planicie 500 kV,Carabayllo 500 kV,39.4,0.02783,0.35164,500,0
LNX-106,SICN-81,SICN202,Chilca 500 kV,Planicie 500 kV,49.6,0.027841,0.351642,500,0
LNX-178,SICN-81,SICN-82,Chilca 500 kV,Carabayllo 500 kV,89.8,0.018283,0.33085,500,0
LNX-206,SICN281,SICN-81,Fenix 500 kV,Chilca 500 kV,7.98,0.03,0.318,500,0
LNX-207,SICN381,SICN-81,Olleros 500 kV,Chilca 500 kV,1.948,0.035,0.313,500,0
LNX-42A,SICN-81,SICN207,Chilca 500 kV,Independencia 500 kV,173,0.0257,0.3515,500,0
LNX-42B,SICN207,SICN101,Independencia 500 kV,Poroma 500 kV,193.2,0.0257,0.3515,500,0
LNX-269,SICN-81,SICN207,Chilca 500 kV,Independencia 500 kV,174,0.0209,0.125287,500,0
LNX-270,SICN207,SICN301,Independencia 500 kV,Colectora 500 kV,110,0.0209,0.135636,500,0
LNXb42B,SICN301,SICN101,Colectora 500 kV,Poroma 500 kV,93.7,0.0214,0.3319,500,0
LNX-43A,SICN101,SIS-56,Poroma 500 kV,Ocoña 500 kV,271,0.0256,0.126712,500,0
LNX-43C,SIS-56,SIS-51,Ocoña 500 kV,San Jose 500 kV,138,0.0262,0.126915,500,0
LNX-252,SIS-51,SIS153,San Jose 500 kV,Hub San Jose 500 kV,4.38,0.018945,0.32799,500,0
LNX-253,SIS-51,SIS153,San Jose 500 kV,Hub San Jose 500 kV,4.38,0.018945,0.32799,500,0
LNX-43B,SIS-51,SIS-41,San Jose 500 kV,Montalvo 500 kV,117,0.0262,0.126915,500,0
LNX-244,SIS152,SIS-51,Puerto Bravo 500 kV,San Jose 500 kV,57.3,0.0263,0.3424,500,0
LNX-344,SIS155,SIS-41,Ilo 4 500 kV,Montalvo 500 kV,75,0.0244,0.3421,500,0
LNX-081,SIS-48,SIS-41,Yarabamba 500 kV,Montalvo 500 kV,97.7,0.024,0.334,500,0
LNX-069,SICN101,SIS-48,Poroma 500 kV,Yarabamba 500 kV,454.4,0.0222,0.153462,500,0
LNX-047,SICN103,SICN101,Colcabamba 500 kV,Poroma 500 kV,360.1,0.0222,0.3416,500,0
LNX-088,SICN103,SICN204,Colcabamba 500 kV,Yanango 500 kV,167.09,0.019,0.170148,500,0
LNX-089,SICN204,SICN201,Yanango 500 kV,Carapongo 500 kV,210.61,0.018,0.171043,500,0
LNX-115,SICN204,SICN211,Yanango 500 kV,Huanuco 500 kV,190.76,0.0191,0.3372,500,0
LNX-122,SICN211,SICN214,Huanuco 500 kV,Tocache 500 kV,188.948,0.021,0.16315,500,0
LNX-123,SICN214,SICN216,Tocache 500 kV,Celendin 500 kV,324.967,0.0206,0.1647,500,0
LNX-125,SICN216,SICN100,Celendin 500 kV,Trujillo 500 kV,172.5,0.0208,0.3266,500,0
LNX-130,SICN216,SICN206,Celendin 500 kV,Piura 500 kV,382.096,0.021,0.1635,500,0
LNX-147,SIS-51,SIS-48,San Jose 500 kV,Yarabamba 500 kV,50.86,0.0212,0.3292,500,0
TNE-073,SICN210,SICN230,Nueva Pariñas 500 kV,Nueva Pariñas 220 kV,1,0.415022,55.765121,500,0
TNE-043,SICN206,SICN306,Piura 500 kV,Piura Este 220 kV,1,0.536532,53.763987,500,0
TNE-033,SICN105,SICN-98,La Niña 500 kV,La Niña 220 kV,1,0.743819,66.704187,500,0
TNE-030,SICN100,SICN054,Trujillo 500 kV,Trujillo Nueva 220 kV,1,0.415022,55.765121,500,0
TNE-029,SICN-99,SICN-15,Chimbote 500 kV,Chimbote 220 kV,1,0.415022,55.765121,500,0
TNE-023,SICN-82,SICN158,Carabayllo 500 kV,Carabayllo 220 kV,1,0.501479,67.873151,500,0
TNE-b23,SICN-82,SICN158,Carabayllo 500 kV,Carabayllo 220 kV,1,0.501479,67.873151,500,0
TNE-038,SICN201,SICN046,Carapongo 500 kV,Carapongo 220 kV,1,0.469739,54.231301,500,0
TNE-040,SICN202,SICN-84,Planicie 500 kV,Planicie 220 kV,1,0.703285,67.32966,500,0
TNE-041,SICN202,SICN-84,Planicie 500 kV,Planicie 220 kV,1,0.501479,67.873151,500,1
TNE-022,SICN-81,SICN106,Chilca 500 kV,Chilca CTM 220 kV,1,0.495799,67.664849,500,0
TNE-025,SICN-81,SICN106,Chilca 500 kV,Chilca CTM 220 kV,1,0.698167,68.663115,500,0
TNEC025,SICN-81,SICN106,Chilca 500 kV,Chilca CTM 220 kV,1,0.317311,54.132403,500,1
TNE-425,SICN207,SICN-26,Independencia 500 kV,Independencia 220 kV,1,0.320947,54.299055,500,0
TNE-325,SICN301,SICN302,Colectora 500 kV,Colectora 220 kV,1,0.469739,54.231301,500,0
TNE-326,SICN301,SICN302,Colectora 500 kV,Colectora 220 kV,1,0.469739,54.231299,500,0
TNE-031,SICN101,SICN029,Poroma 500 kV,Poroma 220 kV,1,1.003704,81.104903,500,0
TSE-042,SICN101,SICN029,Poroma 500 kV,Poroma 220 kV,1,0.155556,48.599751,500,0
TSE-110,SICN101,SICN029,Poroma 500 kV,Poroma 220 kV,1,0.057398,53.366637,500,0
TNE-036,SIS-51,SIS-52,San Jose 500 kV,San Jose 220 kV,1,0.74397,70.537745,500,0
TNE-B36,SIS-51,SIS-52,San Jose 500 kV,San Jose 220 kV,1,0.747648,69.954342,500,0
TNE-610,SIS153,SIS154,Hub San Jose 500 kV,Hub San Jose 220 kV,1,0.478495,55.764612,500,0
TNE-032,SIS-41,SIS-35,Montalvo 500 kV,Montalvo 220 kV,1,0.686667,56.329147,500,0
TNE-132,SIS-41,SIS-35,Montalvo 500 kV,Montalvo 220 kV,1,0.602667,56.663462,500,0
TNE-037,SIS-48,SIS148,Yarabamba 500 kV,Yarabamba 220 kV,1,0.465778,53.997994,500,0
TNE-024,SICN103,SICN-04,Colcabamba 500 kV,Colcabamba 220 kV,1,0.461333,53.998032,500,0
TNE-087,SICN204,SICN185,Yanango 500 kV,Yanango Nueva 220 kV,1,0.160267,53.733097,500,0
TNE-045,SICN211,SICN212,Huanuco 500 kV,Huanuco 220 kV,1,0.160267,53.733097,500,0
TNE-047,SICN216,SICN217,Celendin 500 kV,Celendin 220 kV,1,0.415022,55.765121,500,0
LNE-a93,SICN-65,SICN165,Zorritos 220 kV,Tumbes 220 kV,42.95,0.054692,0.485358,220,0
LNE-b93,SICN165,SICN-73,Tumbes 220 kV,Machala 220 kV,23.68,0.054595,0.484958,220,0
LNE-091,SICN-51,SICN-65,Talara 220 kV,Zorritos 220 kV,137,0.0648,0.4999,220,0
LNE-a91,SICN-51,SICN051,Talara 220 kV,Pariñas 220 kV,14.6,0.0648,0.4999,220,1
LNE-b91,SICN051,SICN-65,Pariñas 220 kV,Zorritos 220 kV,129.6,0.0648,0.4999,220,1
LNE-142,SICN051,SICN165,Pariñas 220 kV,Tumbes 220 kV,161.93,0.066991,0.503928,220,0
LNE-243,SICN230,SICN051,Nueva Pariñas 220 kV,Pariñas 220 kV,4.25,0.025585,0.352939,220,0
LNE-244,SICN230,SICN051,Nueva Pariñas 220 kV,Pariñas 220 kV,4.25,0.025585,0.352939,220,0
LNE-242,SICN052,SICN051,La Brea 220 kV,Pariñas 220 kV,14.1,0.0618,0.4938,220,0
LNE-342,SICN052,SICN051,La Brea 220 kV,Pariñas 220 kV,14.1,0.0618,0.4938,220,0
LNE-442,SICN053,SICN051,Campana 220 kV,Pariñas 220 kV,1.34,0.062,0.494,220,0
LNE-001,SICN-51,SICN-42,Talara 220 kV,Piura Oeste 220 kV,103.71,0.0582,0.5089,220,0
LNE-128,SICN-51,SICN051,Talara 220 kV,Pariñas 220 kV,11.77,0.0582,0.5089,220,1
LNE-129,SICN051,SICN-42,Pariñas 220 kV,Piura Oeste 220 kV,93.48,0.0582,0.5089,220,1
LNE-130,SICN-51,SICN051,Talara 220 kV,Pariñas 220 kV,11,0.0711,0.4999,220,0
LNEb131,SICN051,SICN142,Pariñas 220 kV,Chira 220 kV,62.62,0.0711,0.4999,220,0
LNEa131,SICN142,SICN-42,Chira 220 kV,Piura Oeste 220 kV,32.99,0.0711,0.4999,220,0
LNEa106,SICN-42,SICN306,Piura Oeste 220 kV,Piura Este 220 kV,22.8,0.056921,0.43394,220,0
LNEb106,SICN306,SICN-98,Piura Este 220 kV,La Niña 220 kV,85.81,0.078753,0.497065,220,0
LNE-206,SICN306,SICN253,Piura Este 220 kV,Colan 220 kV,74,0.062104,0.483567,220,0
LNE-207,SICN306,SICN253,Piura Este 220 kV,Colan 220 kV,74,0.062104,0.483567,220,0
LNE-536,SICN306,SICN600,Piura Este 220 kV,Huangala 220 kV,38.02,0.0706,0.497,220,0
LNE-537,SICN306,SICN600,Piura Este 220 kV,Huangala 220 kV,38.02,0.0706,0.497,220,0
LNE-538,SICN306,SICN601,Piura Este 220 kV,Cruz Verde 220 kV,54.47,0.0706,0.497,220,0
LNE-539,SICN306,SICN601,Piura Este 220 kV,Cruz Verde 220 kV,54.47,0.0706,0.497,220,0
LNEc107,SICN-98,SICN123,La Niña 220 kV,Felam 220 kV,56,0.078073,0.506733,220,0
LNEd107,SICN123,SICN-67,Felam 220 kV,Lambayeque Oeste 220 kV,49.7,0.078073,0.506733,220,0
LNEb107,SICN-67,SICN-14,Lambayeque Oeste 220 kV,Chiclayo 220 kV,16.6,0.078073,0.506733,220,0
LNEe110,SICN-42,SICN306,Piura Oeste 220 kV,Piura Este 220 kV,22.8,0.056921,0.43394,220,0
LNEf110,SICN306,SICN-98,Piura Este 220 kV,La Niña 220 kV,85.81,0.078753,0.497065,220,0
LNEd110,SICN-98,SICN123,La Niña 220 kV,Felam 220 kV,55.69,0.0783,0.5058,220,0
LNEg110,SICN123,SICN-67,Felam 220 kV,Lambayeque Oeste 220 kV,50.8,0.078327,0.506117,220,0
LNEh110,SICN-67,SICN-14,Lambayeque Oeste 220 kV,Chiclayo 220 kV,16.6,0.078327,0.506117,220,0
LNE-210,SICN123,SICN323,Felam 220 kV,Tierras Nuevas 220 kV,28.1502,0.0862,0.4906,220,0
LNE-540,SICN123,SICN323,Felam 220 kV,Tierras Nuevas 220 kV,28.1,0.063243,0.509635,220,0
LNE-310,SICN-67,SICN-167,Lambayeque Oeste 220 kV,Lambayeque Norte 220 kV,9.9,0.07078,0.49403,220,0
LNE-410,SICN-67,SICN-167,Lambayeque Oeste 220 kV,Lambayeque Norte 220 kV,9.9,0.07078,0.49403,220,0
LN-004A,SICN-14,SICN108,Chiclayo 220 kV,Reque 220 kV,13.772,0.0786,0.4425,220,0
LN-111A,SICN-14,SICN108,Chiclayo 220 kV,Reque 220 kV,13.772,0.0786,0.4425,220,0
LN-004B,SICN108,SICN-17,Reque 220 kV,Guadalupe 220 kV,72.559,0.0786,0.4425,220,0
LN-111B,SICN108,SICN-17,Reque 220 kV,Guadalupe 220 kV,72.559,0.0786,0.4425,220,0
LNX-144,SICN108,SICN-108,Reque 220 kV,Nueva Carhuaquero 220 kV,86.08,0.080161,0.488679,220,0
LNX-444,SICN108,SICN208,Reque 220 kV,Eten 220 kV,2.52,0.0527,0.5088,220,0
LNX-544,SICN108,SICN308,Reque 220 kV,Recka 220 kV,1.631,0.0548,0.5159,220,0
LNE-A03,SICN-14,SICN-108,Chiclayo 220 kV,Nueva Carhuaquero 220 kV,81.498,0.09,0.49,220,0
LNE-B03,SICN-108,SICN-11,Nueva Carhuaquero 220 kV,Carhuaquero 220 kV,1.592,0.09,0.49,220,0
LNE-005,SICN-54,SICN-17,Trujillo 220 kV,Guadalupe 220 kV,103.35,0.0931,0.5325,220,0
LNE-112,SICN-54,SICN-17,Trujillo 220 kV,Guadalupe 220 kV,103.35,0.078,0.4982,220,0
LNE-212,SICN-218,SICN-17,Cupisnique 220 kV,Guadalupe 220 kV,27.87,0.0615,0.4944,220,0
LNE-121,SICN-54,SICN054,Trujillo 220 kV,Trujillo Nueva 220 kV,4,0.03,0.279,220,0
LNE-122,SICN-54,SICN054,Trujillo 220 kV,Trujillo Nueva 220 kV,4,0.03,0.279,220,0
LNX-022,SICN-54,SICN-78,Trujillo 220 kV,Cajamarca 220 kV,137,0.0564,0.5015,220,0
LNE-320,SICN-108,SICN-78,Nueva Carhuaquero 220 kV,Cajamarca 220 kV,97.66,0.042194,0.382466,220,0
LNEa115,SICN-78,SICN217,Cajamarca 220 kV,Celendin 220 kV,59.72,0.0428,0.3681,220,0
LNEb115,SICN217,SICN109,Celendin 220 kV,Caclic 220 kV,108.56,0.0428,0.3681,220,0
LNE-116,SICN109,SICN110,Caclic 220 kV,Moyobamba 220 kV,110.17,0.054,0.49,220,0
LNE-147,SICN-78,SICN109,Cajamarca 220 kV,Caclic 220 kV,159.33,0.054,0.49,220,1
LNEa147,SICN-78,SICN217,Cajamarca 220 kV,Celendin 220 kV,59.72,0.0428,0.3681,220,1
LNEb147,SICN217,SICN109,Celendin 220 kV,Caclic 220 kV,108.56,0.0428,0.3681,220,1
LNE-148,SICN109,SICN110,Caclic 220 kV,Moyobamba 220 kV,110.1,0.054,0.49,220,1
LNE-124,SICN110,SICN11X,Moyobamba 220 kV,Intermedia 220 kV,387.1,0.042227,0.118232,220,1
LNE-224,SICN11X,SICN112,Intermedia 220 kV,Iquitos 220 kV,200.7,0.042227,0.14504,220,1
LNX-153,SICN109,SICN-101,Caclic 220 kV,Bagua 220 kV,141.5,0.0646,0.4952,220,0
LNX-154,SICN109,SICN-101,Caclic 220 kV,Bagua 220 kV,141.5,0.0646,0.4952,220,0
LNX-149,SICN110,SICN143,Moyobamba 220 kV,Tarapoto 220 kV,87,0.0554,0.4944,220,0
LNX-049,SICN110,SICN143,Moyobamba 220 kV,Tarapoto 220 kV,87,0.0554,0.4944,220,0
LNX-021,SICN-78,SICN-77,Cajamarca 220 kV,Cerro Corona 220 kV,33.7,0.0693,0.4957,220,0
LNX-221,SICN-78,SICN277,Cajamarca 220 kV,La Quinua 220 kV,10.9,0.0693,0.4957,220,0
LNE-548,SICN-15,SICN131,Chimbote 220 kV,Moche 220 kV,110.01,0.0577,0.4829,220,0
LNE-549,SICN131,SICN-54,Moche 220 kV,Trujillo 220 kV,23.12,0.0577,0.4829,220,0
LNEa007,SICN-15,SICN154,Chimbote 220 kV,Viru 220 kV,76.3,0.067,0.48,220,0
LNE-546,SICN131,SICN-54,Moche 220 kV,Trujillo 220 kV,23.12,0.067,0.48,220,0
LNE-547,SICN154,SICN131,Viru 220 kV,Moche 220 kV,37.165,0.067,0.48,220,0
LNE-008,SICN-41,SICN-15,Paramonga 220 kV,Chimbote 220 kV,221.17,0.09,0.48,220,0
LNXa002,SICN-41,SICN041,Paramonga 220 kV,Huarmey 220 kV,84.36,0.09,0.48,220,0
LNXb002,SICN041,SICN-15,Huarmey 220 kV,Chimbote 220 kV,136.81,0.08998,0.48,220,0
LNX-033,SICN-80,SICN-41,Conococha 220 kV,Paramonga 220 kV,92.46,0.0575,0.505,220,0
LNX-c23,SICN-78,SICN11Y,Cajamarca 220 kV,Pampa Honda 220 kV,87.85,0.0452,0.3917,220,0
LNX-c24,SICN-78,SICN11Y,Cajamarca 220 kV,Pampa Honda 220 kV,87.85,0.0452,0.3917,220,0
LNX-d23,SICN11Y,SICN113,Pampa Honda 220 kV,La Ramada 220 kV,35.48,0.0452,0.3917,220,0
LNX-d24,SICN11Y,SICN113,Pampa Honda 220 kV,La Ramada 220 kV,35.48,0.0452,0.3917,220,0
LNX-b23,SICN113,SICN-79,La Ramada 220 kV,Kiman Ayllu 220 kV,104.39,0.0452,0.3917,220,0
LNX-b24,SICN113,SICN-79,La Ramada 220 kV,Kiman Ayllu 220 kV,104.39,0.0452,0.3917,220,0
LNXA025,SICN-80,SICN163,Conococha 220 kV,Huaylas 220 kV,66.85,0.0566,0.4986,220,0
LNXA026,SICN-80,SICN163,Conococha 220 kV,Huaylas 220 kV,66.85,0.0566,0.4986,220,0
LNXB025,SICN163,SICN-79,Huaylas 220 kV,Kiman Ayllu 220 kV,109.76,0.0566,0.4986,220,0
LNXB026,SICN163,SICN-79,Huaylas 220 kV,Kiman Ayllu 220 kV,109.76,0.0566,0.4986,220,0
LNX-226,SICN279,SICN-79,Quitaracsa 220 kV,Kiman Ayllu 220 kV,5.45,0.0634,0.5264,220,0
LNE-409,SICN320,SICN-20,Cheves 220 kV,Huacho 220 kV,75.93,0.0706,0.5228,220,0
LNEa009,SICN-20,SICN141,Huacho 220 kV,Medio Mundo 220 kV,32.58,0.073649,0.49541,220,0
LNEb009,SICN141,SICN-41,Medio Mundo 220 kV,Paramonga 220 kV,26.95,0.073388,0.495245,220,0
LNXa01A,SICN-20,SICN141,Huacho 220 kV,Medio Mundo 220 kV,32.68,0.073653,0.495412,220,0
LNXb01A,SICN141,SICN-41,Medio Mundo 220 kV,Paramonga 220 kV,26.95,0.073388,0.495245,220,0
LNX-074,SICN134,SICN-20,TPCH 220 kV,Huacho 220 kV,77.453,0.075759,0.496356,220,0
LNX-073,SICN-58,SICN134,Zapallal 220 kV,TPCH 220 kV,44.563,0.076393,0.496472,220,0
LNX-083,SICN114,SICN-20,Lomera 220 kV,Huacho 220 kV,48.29,0.0749,0.4962,220,0
LNX-082,SICN-58,SICN114,Zapallal 220 kV,Lomera 220 kV,58.6,0.0749,0.4962,220,0
LNX-186,SICN158,SICN-58,Carabayllo 220 kV,Zapallal 220 kV,10.2,0.0312,0.2813,220,0
LNX-187,SICN158,SICN-58,Carabayllo 220 kV,Zapallal 220 kV,10.2,0.0312,0.2813,220,0
LNX-086,SICN158,SICN-68,Carabayllo 220 kV,Mirador 220 kV,13.52,0.0575,0.5003,220,0
LNX-087,SICN158,SICN-68,Carabayllo 220 kV,Mirador 220 kV,13.52,0.0575,0.5003,220,0
LNX-184,SICN-68,SICN068,Mirador 220 kV,Malvinas 220 kV,19.5,0.050046,0.447138,220,0
LNX-185,SICN-68,SICN068,Mirador 220 kV,Malvinas 220 kV,19.5,0.050046,0.447138,220,0
LNX-188,SICN068,SICN013,Malvinas 220 kV,Barsi 220 kV,5.93,0.0368,0.3785,220,0
LNE-046,SICN-58,SICN-55,Zapallal 220 kV,Ventanilla 220 kV,18.02,0.0882,0.495,220,0
LNE-047,SICN-58,SICN-55,Zapallal 220 kV,Ventanilla 220 kV,18.02,0.0882,0.495,220,0
LNE-021,SICN-55,SICN055,Ventanilla 220 kV,Chillon 220 kV,1.2606,0.073302,0.497712,220,0
LNE-022,SICN-55,SICN055,Ventanilla 220 kV,Chillon 220 kV,1.2606,0.073302,0.497712,220,0
LNE-012,SICN-55,SICN-13,Ventanilla 220 kV,Chavarria 220 kV,10.58,0.0871,0.4996,220,0
LNE-013,SICN-55,SICN-13,Ventanilla 220 kV,Chavarria 220 kV,10.58,0.0871,0.4996,220,0
LNE-014,SICN-55,SICN-13,Ventanilla 220 kV,Chavarria 220 kV,11.07,0.0871,0.4969,220,0
LNE-14B,SICN-55,SICN-13,Ventanilla 220 kV,Chavarria 220 kV,10.58,0.0871,0.4996,220,0
LNE-135,SICN-13,SICN013,Chavarria 220 kV,Barsi 220 kV,9.56,0.067202,0.485377,220,0
LNE-136,SICN-13,SICN013,Chavarria 220 kV,Barsi 220 kV,9.09,0.066886,0.484491,220,0
LNE-915,SICN-13,SICN610,Chavarria 220 kV,San Martín 220 kV,13,0.01832,0.219401,220,0
LNE-916,SICN-13,SICN610,Chavarria 220 kV,San Martín 220 kV,13,0.01832,0.219401,220,0
LNX-a17,SICN-49,SICN-76,Santa Rosa 220 kV,Industriales 220 kV,6.37,0.0725,0.4924,220,0
LNX-a18,SICN-49,SICN-76,Santa Rosa 220 kV,Industriales 220 kV,6.94,0.073053,0.490919,220,0
LNX-b18,SICN-76,SICN-48,Industriales 220 kV,San Juan 220 kV,20,0.0725,0.4924,220,1
LNX-030,SICN-84,SICN-76,Planicie 220 kV,Industriales 220 kV,17.194,0.040919,0.323501,220,0
LNX-031,SICN-84,SICN-76,Planicie 220 kV,Industriales 220 kV,17.194,0.040919,0.323501,220,0
LNX-039,SICN-84,SICN-76,Planicie 220 kV,Industriales 220 kV,17.06,0.040286,0.320325,220,0
LNE-157,SICN-84,SICN184,Planicie 220 kV,Manchay 220 kV,3.778,0.026937,0.268268,220,0
LNE-158,SICN-84,SICN184,Planicie 220 kV,Manchay 220 kV,3.778,0.026937,0.268268,220,0
LNE-163,SICN184,SICN148,Manchay 220 kV,Pachacutec 220 kV,17.598,0.0157,0.2166,220,0
LNE-164,SICN184,SICN148,Manchay 220 kV,Pachacutec 220 kV,17.598,0.0157,0.2166,220,0
LNX-011,SICN-76,SICN176,Industriales 220 kV,San Luis 220 kV,5.13,0.026937,0.268268,220,0
LNX-012,SICN-76,SICN176,Industriales 220 kV,San Luis 220 kV,5.13,0.0269,0.2683,220,0
LNX-016,SICN-76,SICN177,Industriales 220 kV,Los Sauces 220 kV,3.011,0.026937,0.268268,220,0
LNX-017,SICN-76,SICN177,Industriales 220 kV,Los Sauces 220 kV,3.011,0.026937,0.268268,220,0
LNE-019,SICN-48,SICN-02,San Juan 220 kV,Balnearios 220 kV,9.76,0.0828,0.488082,220,0
LNE-020,SICN-48,SICN-02,San Juan 220 kV,Balnearios 220 kV,9.76,0.0828,0.488082,220,0
LNE-123,SICN-48,SICN-02,San Juan 220 kV,Balnearios 220 kV,8.7,0.01976,0.250554,220,0
LNX-003,SICN-48,SICN-69,San Juan 220 kV,Chilca REP 220 kV,48.2,0.059,0.3432,220,0
LNX-008,SICN-48,SICN-69,San Juan 220 kV,Chilca REP 220 kV,48.2,0.059,0.3432,220,0
LNX-009,SICN-48,SICN-69,San Juan 220 kV,Chilca REP 220 kV,48.92,0.0364,0.358,220,0
LNX-101,SICN-48,SICN117,San Juan 220 kV,Alto Praderas 220 kV,18.72,0.0364,0.358,220,0
LNX-102,SICN117,SICN-69,Alto Praderas 220 kV,Chilca REP 220 kV,30.2,0.0364,0.358,220,0
LNE-118,SICN106,SICN-69,Chilca CTM 220 kV,Chilca REP 220 kV,1,0.039,13.006192,220,0
LNX-330,SICN286,SICN106,Las Flores 220 kV,Chilca CTM 220 kV,3.2,0.022,0.3366,220,0
LNX-331,SICN386,SICN106,Chilca Uno 220 kV,Chilca CTM 220 kV,1.039,0.027,0.367,220,0
LNX-332,SICN386,SICN106,Chilca Uno 220 kV,Chilca CTM 220 kV,1.039,0.027,0.367,220,0
LNX-333,SICN-86,SICN-69,Platanal 220 kV,Chilca REP 220 kV,108,0.0529,0.499,220,0
LNX-334,SICN186,SICN-69,Kallpa 220 kV,Chilca REP 220 kV,1,0.017,0.1883,220,0
LNX-335,SICN186,SICN-69,Kallpa 220 kV,Chilca REP 220 kV,1,0.017,0.1883,220,0
LNX-336,SICN186,SICN-69,Kallpa 220 kV,Chilca REP 220 kV,1,0.017,0.1883,220,0
LNX-337,SICN186,SICN-69,Kallpa 220 kV,Chilca REP 220 kV,1,0.017,0.1883,220,0
LNX-001,SICN-69,SICN172,Chilca REP 220 kV,Asia 220 kV,28.9,0.083,0.49,220,0
LNX-004,SICN172,SICN-72,Asia 220 kV,Cantera 220 kV,55.11,0.083,0.49,220,0
LNX-007,SICN-72,SICN-26,Cantera 220 kV,Independencia 220 kV,82.21,0.083,0.49,220,0
LNX-013,SICN-69,SICN-75,Chilca REP 220 kV,Desierto 220 kV,106.24,0.0824,0.4866,220,0
LNX-084,SICN-75,SICN115,Desierto 220 kV,Chincha 220 kV,24.4,0.0824,0.4866,220,0
LNX-098,SICN115,SICN-26,Chincha 220 kV,Independencia 220 kV,31.71,0.0824,0.4866,220,0
LNX-143,SICN-69,SICN-26,Chilca REP 220 kV,Independencia 220 kV,165.38,0.078353,0.488723,220,0
LNX-163,SICN-26,SILS-20,Independencia 220 kV,El Angel 220 kV,21.6,0.0588,0.4786,220,0
LNX-164,SICN-26,SILS-20,Independencia 220 kV,El Angel 220 kV,23.1,0.053668,0.506829,220,0
LNX-103,SICN-26,SICN-83,Independencia 220 kV,Aceros 220 kV,24.6,0.083,0.49,220,0
